Supercharger,Street Address ?,City,State,Zip,Country,Stalls,GPS,Elev.(m),Status,Open Date,Tesla,Discuss
"Boise, ID",null,Boise,ID,83709,USA,8,"43.592633, -116.280653",837,Open,null,SC,thread
"JFK Airport, NY",null,Queens,NY,11430,USA,4,"40.66319, -73.793192",3,Open,null,SC,thread
"St. Valentin, Austria",null,St. Valentin,,4300,Austria,8,"48.196468, 14.527973",260,Open,null,SC,thread
"Trinidad, CO",null,Trinidad,CO,81082,USA,6,"37.134228, -104.519962","1,933",Open,null,SC,thread
"Joplin, MO",null,Joplin,MO,64804,USA,8,"37.047552, -94.473399",314,Open,null,SC,thread
"Gol, Norway",null,Gol,,3550,Norway,8,"60.70232, 8.9862",201,Open,null,SC,forum
"Baker City, OR",null,Baker City,OR,97814,USA,8,"44.782849, -117.812422","1,044",Open,null,SC,thread
"Busdorf, Germany",null,Busdorf,,24866,Germany,14,"54.476703, 9.544304",20,Open,null,SC,thread
"Folsom-Palladio, CA",null,Folsom,CA,95630,USA,10,"38.647199, -121.118344",116,Open,null,SC,thread
"Monroe, WA",null,Monroe,WA,98272,USA,12,"47.86274, -121.97672",20,Open,null,SC,thread
"Hawthorne, NV",null,Hawthorne,NV,89415,USA,8,"38.533939, -118.62308","1,301",Open,null,SC,thread
"Panda Place, Hong Kong, China",null,Tsuen Wan,Hong Kong,,China,4,"22.368929, 114.120542",43,Open,null,SC,forum
"Van Horn, TX",null,Van Horn,TX,79855,USA,8,"31.03448, -104.861431","1,230",Open,null,SC,thread
"Skjåk, Norway",null,Skjåk,,2690,Norway,6,"61.883135, 8.267249",396,Open,null,SC,thread
"Qinhuangdao harbor, China",null,Qinhuangdao,Hebei,,China,2,"39.9712, 119.549586",12,Open,null,SC,forum
"St. Augustine, FL",null,St. Augustine,FL,32092,USA,6,"29.924286, -81.416018",14,Open,null,SC,thread
"Chattanooga, TN",null,Chattanooga,TN,37421,USA,6,"35.038644, -85.19593",204,Open,null,SC,thread
"Albert Lea, MN",null,Albert Lea,MN,56007,USA,4,"43.68606, -93.357721",383,Open,null,SC,thread
"The Dalles, OR",null,The Dalles,OR,97058,USA,5,"45.611964, -121.208526",45,Open,null,SC,thread
"Rivière du Loup, QC",null,Rivière du Loup,QC,G5R 5S4,Canada,8,"47.82017, -69.558776",40,Open,null,SC,thread
